,X1,PMCID,statistic,reported,df1,df2,p,value,n,context,sectionName,decision,doi,journalID,journalIDAbrev,title,issue,volume,call,realYear
790,800,PMC4261741,F,"F1,10 = 0.227, P = 0.644",1,10,p = 0.644,0.227,NA,"e phase increased both NREM and REM sleep similar to that observed following vehicle administration during the inactive phase onset. Remarkably, the time courses of these increases were statistically no different from those observed during the inactive-phase onset following vehicle treatment (NREM: F1,10 = 0.227, P = 0.644, 2-way ANOVA, P = 0.0661; Tukey HSD; REM: F1,10 = 2.347, P = 0.157, 2-way ANOVA, P = 0.2933, Tukey HSD). A comprehensive comparison of the time courses of vigilance states with vehicle, DORA-12, and eszopiclone treatments during both the active phase and inactive phase is shown in Additional file1:",Results,1,10.1186/1471-2202-15-109,BMC Neuroscience,BMC Neurosci,Differential sleep-promoting effects of dual orexin receptor antagonists and GABAA receptor modulators,NA,15,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4261741&metadataPrefix=pmc,2014
791,801,PMC4263081,F,"F(1, 126) = 0.69, p = 0.407",1,126,p = 0.407,0.69,NA,"ion for language background, face type and speech type [F(2, 126) = 0.62, p = 0.541], nor were there any significant two-way interactions for face and speech type [F(2, 126) = 0.35, p = 0.704], language background and speech type [F(2, 126) = 0.214, p = 0.807], or language background and face type [F(1, 126) = 0.69, p = 0.407]. There was not a main effect by speech type [F(2, 126) = 0.47, p = 0.629], or language background [F(1, 126) < 0.0001, p > 0.999]. However, we did observe a main effect of face type on proportion of dwell time on the areas of interest [F(1, 126) = 18.91, p < 0.0001], in which infants, regardless o",Experiment 1A,2,10.3389/fpsyg.2014.01429,Frontiers in Psychology,Front Psychol,Does bilingual experience affect early visual perceptual development?,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4263081&metadataPrefix=pmc,2014
792,802,PMC4263088,F,"F(1,45) = 26.41; p < 0.0001",1,45,p < 0.0001,26.41,NA,"OICE DISCRIMINATION TESTError rates for the discrimination test are summarized in Table 3. A two-way mixed-model ANOVA with Condition (Silence/Stop) as a within-subjects factor and Native-language (JP/NL/IT) as a between-subjects factor on the Error rate indicated a significant effect of Condition [F(1,45) = 26.41; p < 0.0001; Œ<U+2211>p2 = 0.37] with higher error rates for the Silence than the Stop condition. Neither the main effect of Native-language nor interaction effect was significant [F(2,45) = 0.179 n.s. and F(1,45) = 0.7436 n.s., respectively]. The results indicated that the Silence stimuli /a_su/ were more difficult t",RESULTS,1,10.3389/fpsyg.2014.01422,Frontiers in Psychology,Front Psychol,Language specific listening of Japanese geminate consonants: a cross-linguistic study,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4263088&metadataPrefix=pmc,2014
793,803,PMC4267176,F,"F(1, 9) = 812.87, p < 0.0001",1,9,p < 0.0001,812.87,NA,"e shown. SOA thresholdsGroup mean SOA thresholds are shown as a function of Mask-type and trial type in Figure 5A. Shorter thresholds were found for grids than noise [F(1, 9) = 32.485, p < 0.001, Œ<U+2211>2 = 0.025]. Transition-type was highly significant, with shorter same-level than different-level SOAs [F(1, 9) = 812.87, p < 0.0001, Œ<U+2211>2 = 0.76]. T2-level was not significant. Importantly, the interactions between Mask-type and T2-level [F(1, 9) = 110.97, p < 0.001, Œ<U+2211>2 = 0.062], between Transition-type and T2-level [F(1, 9) = 64.756, p < 0.001, Œ<U+2211>2 = 0.033] and between Mask-type, Transition-type and T2-level (Figure 5A) were high",Experiment 2,1,10.3389/fnint.2014.00091,Frontiers in Integrative Neuroscience,Front Integr Neurosci,Attentional selection of levels within hierarchically organized figures is mediated by object-files,NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4267176&metadataPrefix=pmc,2014
794,804,PMC4267211,F,"F(1,79) = 7.561, p = 0.007",1,79,p = 0.007,7.561,NA,"d provide evidence of PM capacity and selective attentional differences in PM capacity and working memory. Focal recallAnalyzing overall proportion of correct focal recall, a 2(age: younger vs. older) vó 3(presentation modality: visual vs. auditory vs. dua1) ANOVA showed a significant effect of age, F(1,79) = 7.561, p = 0.007, Œ<U+2211>p2 = 0.093 and presentation modality, F(2,79) = 10.199, p = 0.001, Œ<U+2211>p2 = 0.216. Older children recalled a higher proportion of focal items (M = 0.819; SE = 0.023) than younger children (M = 0.729; SE = 0.023), whilst individuals in the visual condition recalled a higher proportion (M = 0.875; SE",RESULTS,1,10.3389/fnhum.2014.01011,Frontiers in Human Neuroscience,Front Hum Neurosci,How do selective attentional processes contribute to maintenance and recall in children’s working memory capacity?,NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4267211&metadataPrefix=pmc,2014
795,805,PMC4268492,t,"t(30) = 0.15, p > 0",NA,30,p > 0,0.15,NA,"RESULTSPARTICIPANTSNo significant differences were found among group with respect to age (21.7, SD = 1.4 vs. 21.8, SD = 2.9, for the placebo and TRP group respectively), t(30) = 0.15, p > 0. 88, and sex, œá2 (1, N = 32) = 0.00, p = 1.00. DONATING TASKAs expected, participants donated significantly more euros to the charities in the TRP condition (1.00, SD = 0.79) than in the placebo condition (0.47, SD = 0.59), t(30) = 2.14, p < 0.05, Cohen s Œ¥ = 0.78. PHYSIOLOGICAL AND MOOD MEASUREMEN",RESULTS,4,10.3389/fpsyg.2014.01451,Frontiers in Psychology,Front Psychol,Tryptophan promotes charitable donating,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4268492&metadataPrefix=pmc,2014
796,806,PMC4270174,t,"t(99) = 24.24, p < 0.0001",NA,99,p < 0.0001,24.24,NA,"booness, valence, and arousa1. Negative and neutral sentences were matched for familiarity [t(99) = -1.30, p = 0.20] and coherence [t(99) = -0.03, p = 0.97]. Critically, negative sentences were judged to be more taboo [t(99) = 26.13, p < 0.0001], negative [t(99) = -25.12, p < 0.0001], and arousing [t(99) = 24.24, p < 0.0001]. The mean values can be found in Table 1. Table 1 The mean and SEM of ratings for the negative and neutral sentences used in experiment. Mean for negative sentences (SEM) Mean for neutral sentences (SEM) Familiarity 4.74 (0.03) 4.79 (0.03) Coherence 4.84 (0.02) 4.84 (0.02) Tabooness 3.09 (0.08) 1.",MATERIALS AND METHODS,4,10.3389/fnhum.2014.01001,Frontiers in Human Neuroscience,Front Hum Neurosci,Association with emotional information alters subsequent processing of neutral faces,NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4270174&metadataPrefix=pmc,2014
797,807,PMC4270309,t,"t(6)=0.182, P>0.5",NA,6,p>0.5,0.182,NA,"e or db/db mice, desripramine produced no significant effect on Akt(Thr308) (hippocampus (t(6)=0.201, P>0.5 for wild-type and t(6)=1.992, P>0.05 for db/db) and PFC (t(6)=0.098, P>0.5 for wild-type)), GSK3Œ=(Ser9) (hippocampus (t(6)=0.962, P>0.1 for wild-type and t(6)=1.058, P>0.1 for db/db) and PFC (t(6)=0.182, P>0.5 for wild-type)), GSK3Œ=(Ser389) (hippocampus (t(6)=0.539, P>0.5 for wild-type and t(6)=0.548, P>0.5 for db/db) and PFC (t(6)=1.064, P>0.1 for wild-type)) and ERK1/2(Thr202/Tyr204) (hippocampus (t(6)=0.647, P>0.5 for wild-type and t(6)=0.339, P>0.5 for db/db) and PFC (t(6)=0.958, P>0.1 for wild-type)",Results,2,10.1038/tp.2014.126,Translational Psychiatry,Transl Psychiatry,Leptin receptor deficiency confers resistance to behavioral effects of fluoxetine and desipramine via separable substrates,12,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4270309&metadataPrefix=pmc,2014
798,808,PMC4273627,F,"F(1,21) = 5.94, p = 0.009",1,21,p = 0.009,5.94,NA,"= -3.21, p = 0.005, d = 1.40]. Male participants reported more difficulties describing feelings than female participants. The other comparisons did not reach significance level (all p-values ‚â•0.383). EEG DATAProbe P1 mean amplitudes differed between sexes [F(1,21) = 8.31, p = 0.009] and hemifield [F(1,21) = 5.94, p = 0.009], but not between emotions [F(1,20.92) = 0.93, p = 0.412] or congruency conditions [F(1,21) = 0.97, p = 0.397]. Moreover, there was an interaction of sex by emotion [F(1,21) = 3.96, p = 0.035]. In marginal means, women (M = 0.51 ŒºV, SE = 0.50) and men (M = -1.81 ŒºV, SE = 0.52) differed overall by a",RESULTS,3,10.3389/fpsyg.2014.01477,Frontiers in Psychology,Front Psychol,Sex differences in event-related potentials and attentional biases to emotional facial stimuli,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4273627&metadataPrefix=pmc,2014
799,809,PMC4273627,t,"t(19) = -1.28, p = 0.218",NA,19,p = 0.218,-1.28,NA,"7 t(19) = -0.89, p = 0.348 OI happy -3.31+ 13.00 -3.39 16.37 -3.23 9.83 t(19) = 0.03, p = 0.978 DI anger -0.26 8.80 -0.44 8.37 -0.11 9.58 t(19) = 0.08, p = 0.935 DI happy -2.04 10.97 -4.69 11.70 0.37 10.19 t(19) = 1.06, p = 0.303 Reaction times Anger congruent 359.00 34.81 369.01 44.17 349.90 21.85 t(19) = -1.28, p = 0.218 Anger incongruent 361.17 37.88 373.39 45.70 350.07 26.56 t(19) = -1.45, p = 0.164 Happy congruent 364.75 36.29 377.22 44.23 353.41 23.99 t(19) = -1.55, p = 0.137 Happy incongruent 359.40 36.23 369.14 45.01 350.55 24.91 t(19) = -1.19, p = 0.250 Neutral 361.44 37.28 373.83 47.29 350.17 21.77 t(12.4)",RESULTS,3,10.3389/fpsyg.2014.01477,Frontiers in Psychology,Front Psychol,Sex differences in event-related potentials and attentional biases to emotional facial stimuli,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4273627&metadataPrefix=pmc,2014
800,810,PMC4279141,t,t24 = 3.33; p = 0.003,NA,24,p = 0.003,3.33,NA,"ance (t17 = 4.62; p < 0.001, 95% CIs [0.54; 0.61]). Positive Responders on the other hand performed at chance (mean 0.472, SD 0.082; t7 = -0.96; p = 0.37, 95% CIs [0.40; 0.54]). This difference between Negative and Positive Responders in proportional target looking time after naming is significant (t24 = 3.33; p = 0.003; 95% CIs [0.04; 0.17]). Similarly, the groups differed on their looking time difference for first looks, as measured by a paired t-test (t24 = 2.22; p = 0.036; 95% CIs [+19; +525]). Whereas Negative Responders showed evidence of understanding words (mean looking time difference +207 ms; t17 = 2.87,",2. Study 1: The Infant WFE and LWL at 16 Months,1,10.3390/brainsci4040532,Brain Sciences,Brain Sci,Early Word Recognition and Later Language Skills,4,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4279141&metadataPrefix=pmc,2014
801,811,PMC4279141,t,t25 = 2.02; p = 0.027,NA,25,p = 0.027,2.02,NA,"ng times was above chance (i.e., compared to 0.50; PTL = 0.546, SD 0.09; t25 = 2.63; p = 0.014; 95% CIs [0.51; 0.58]). Similarly, their first looks were longer for target-initial trials than for distractor-initial trials: the mean looking time difference is +123 ms (SD 310 ms), which is above zero (t25 = 2.02; p = 0.027; 95% CIs [-3; +248], one-tailed; cf. [54]). When infants fixated the target at naming, they continued to look for another 1035 ms (SD 273), whereas when they fixated the distractor, they switched gaze faster, at 913 ms after target onset (SD 237). The two subgroups with respectively a mature negati",2. Study 1: The Infant WFE and LWL at 16 Months,2,10.3390/brainsci4040532,Brain Sciences,Brain Sci,Early Word Recognition and Later Language Skills,4,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4279141&metadataPrefix=pmc,2014
802,812,PMC4282786,t,"t162.98 = 0.0138, p=.01",NA,162.98,p=.01,0.0138,NA,"ts) compared to those who had not (M3 and M4 students)? Homogeneity of variance was not sufficient for Stage (F(1, 163) = 6.895, p < .01), so unequal variances were assumed. This analysis showed no significant differences in P Score (t163 = -0.553, p>.05), Stage Triad (t163=0.015, p>.05), or Stage (t162.98 = 0.0138, p=.01) between the two cohorts making up the M1/M2 students and the M3/M4 students (Table 4 and Table 5). Table 3 Students who had completed curriculum vs. those who had not (ANOVA) (n=165) Source df F Œ<U+2211>2 p P Score Between Groups 1 1.029 .10 0.312 Within Groups 163 Total 164 Stage Triad Between Groups 1",Differences from exposure to professionalism course,1,10.5116/ijme.547c.e2d1,International Journal of Medical Education,Int J Med Educ,The failure of medical education to develop moral reasoning in medical students,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4282786&metadataPrefix=pmc,2014
803,813,PMC4283450,r,"r(33) = 0.68, p < 0.001",NA,33,p < 0.001,0.68,NA,"ren did [t(72) = 2.00, 2-tailed p = 0.05, Cohen s d = 0.46; see Figure 2B]. For both children and adults, the likelihood of choosing risky on risky versus ambiguous trials significantly correlated with the likelihood of choosing the less ambiguous bar on ambiguous versus ambiguous trials [children: r(33) = 0.68, p < 0.001; adults: r(37) = 0.55, p < 0.001], indicating consistent attitudes towards ambiguity across two different trial types within the task. WILLINGNESS TO PAY (WTP)On the WTP task, we again found evidence of (1) ambiguity aversion in adults but not in children and (2) significantly greater ambiguity ave",RESULTS,1,10.3389/fpsyg.2014.01519,Frontiers in Psychology,Front Psychol,Children do not exhibit ambiguity aversion despite intact familiarity bias,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4283450&metadataPrefix=pmc,2015
804,814,PMC4283513,F,"F(1, 45) = 6.9, p = 0.01",1,45,p = 0.01,6.9,NA,"ANOVA was conducted with no-step trial type (post-conflict, post-error, and post-no-step) as a within subjects' factor and group (high and low proficiency) as a between subjects' factor. The results revealed that there was a significant effect of group on the saccade latency for the no-step trials, F(1, 45) = 6.9, p = 0.01. It showed an overall higher saccade latency for no-step trials for the high proficient bilinguals (447.1 ms, SE = 12.8) than the low proficient bilinguals (400.7 ms, SE = 12.0). The main effect of the no-step trial type was significant, F(2, 90) = 42.5, p = 0.001, showing a significantly higher sa",Experiment 1,1,10.3389/fpsyg.2014.01481,Frontiers in Psychology,Front Psychol,The modulatory role of second language proficiency on performance monitoring: evidence from a saccadic countermanding task in high and low proficient bilinguals,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4283513&metadataPrefix=pmc,2015
805,815,PMC4283640,F,"F(5, 66) = 27.73, p < 0.001",5,66,p < 0.001,27.73,NA,"cal results of One-Way ANOVA tests performed on data from each day of the spatial learning phase of the reference memory version of the Morris water maze. Main effect Escape latency Path length Day 1 F < 1, p = n.s. F < 1, p = n.s. Day 2 F(5, 66) = 26.29, p < 0.001 F(5, 66) = 33.94, p < 0.001 Day 3 F(5, 66) = 27.73, p < 0.001 F(5, 66) = 29.83, p < 0.001 Day 4 F(5, 66) = 29.86, p < 0.001 F(5, 66) = 35.68, p < 0.001 Day 5 F(5, 66) = 3.78, p = 0.005 F(5, 66) = 3.73, p = 0.005 Post-hoc multiple comparisons revealed that PA rats reared in SE showed the worst performance with the highest escape latencies and the longest path",Results,2,10.3389/fnbeh.2014.00406,Frontiers in Behavioral Neuroscience,Front Behav Neurosci,"Life-long environmental enrichment counteracts spatial learning, reference and working memory deficits in middle-aged rats subjected to perinatal asphyxia",NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4283640&metadataPrefix=pmc,2015
806,816,PMC4284993,F,"F(6.17, 206.63) = 4.64, p < 0.001",6,206,p < 0.001,4.64,NA,"nce, F(2, 67) = 12.53, p < 0.001, Œ<U+2211>2p = 0.27: the most negative ratings were obtained for the PTSD group which differed significantly from the non-Trauma (p < 0.001) and at trend level from the non-PTSD group (p = 0.085). The main effects were modified by a significant Cue Type vó Group interaction, F(6.17, 206.63) = 4.64, p < 0.001, Œ<U+2211>2p = 0.12 (for post-hoc One-Way ANOVAs [Œ± = 0.05], see Table 2). Table 2 Subjective valence ratings: means (standard deviation) and results of post-hoc ANOVAs. Picture type PTSD (P, n = 22) Non-PTSD (nP, n = 26) Non-Trauma (nT, n = 22) ANOVA (post-hoc) Offspring PTSD (n = 21) Offspring non-PTBS (",Results,2,10.3389/fpsyg.2014.01474,Frontiers in Psychology,Front Psychol,"Depression, not PTSD, is associated with attentional biases for emotional visual cues in early traumatized individuals with PTSD",NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4284993&metadataPrefix=pmc,2015
807,817,PMC4285010,t,"t(10) = 1.08, p= 0.31",NA,10,p= 0.31,1.08,NA,"abled, non-obese informant significantly above chance [disabled trials: t(24) = 2.45, p= 0.022, Cohen s d = 0.49; obese trials: t(14) = 4.52, p< 0.001, Cohen s d = 1.14]. Interestingly, the performance of the children with relevant exposure did not differ significantly from chance [disabled trials: t(10) = 1.08, p= 0.31; obese trials: t(20) = 1.36, p= 0.19]. Children s justifications for their choicesEach of the 47 children was asked to justify his or her choices on four of the test trials, with a potential total of 188 responses. The researcher forgot to ask the interview questions on 10 occasions. Thus, a total",STUDY 1,1,10.3389/fpsyg.2014.01524,Frontiers in Psychology,Front Psychol,Preschoolers show less trust in physically disabled or obese informants,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4285010&metadataPrefix=pmc,2015
808,818,PMC4285086,t,"t(14) = 7.159, p < 0.001",NA,14,p < 0.001,7.159,NA,"ResultsBehavioral dataIncreasing the memory load significantly increased mean RT (t(14) = 9.152, p < 0.001) and reduced mean accuracy (t(14) = 7.159, p < 0.001). We also conducted an analysis on the accuracy of trials when the final item was probed as all trials are well matched across the two levels of VSTM load (that is the final matrix is perceptually identical across the two levels of load). We split the trials into those on which the distracters were",Results,2,10.3389/fnhum.2014.01025,Frontiers in Human Neuroscience,Front Hum Neurosci,Memory load modulates graded changes in distracter filtering,NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4285086&metadataPrefix=pmc,2015
809,819,PMC4285104,F,"F(2,70) = 0.14; p = 0.87",2,70,p = 0.87,0.14,NA,"008) 37 ASD (ADI-R, ADOS)Age: 19.7 (5.3)IQ: 107.7 (15.1)38 TD controlsAge: 19.2 (6)IQ:112.7 (14.1) Implicit: visual search task; exposure task, word memory task and gambling task Implicit: -No differences between groups on all 4 tasks.Emotion words memory subtest: group by word valence interaction: F(2,70) = 0.14; p = 0.87; group by word arousal interaction: F(2,70) = 0.33; p = 0.72. Gaigg and Bowler (2009a) 25 ASD (ADOS):Age: 38.4IQ: 105.225 controlsAge: 36.2 (11.8)IQ: 105.8 (15.1) Implicit: Attentional blink paradigm using emotional words, neutral words and male first names. Implicit: +In the control group, detecti",Methods,4,10.3389/fnhum.2014.00991,Frontiers in Human Neuroscience,Front Hum Neurosci,Emotional language processing in autism spectrum disorders: a systematic review,NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4285104&metadataPrefix=pmc,2015
810,820,PMC428574,t,"t(6) = 0.5, p = 0.6",NA,6,p = 0.6,0.5,NA,"negative peaks (N1) at CZ (Figures 1a and 2a). The N1 response was similar in latency but differed in magnitude between tracking and control tasks (Figure 2). Average N1 response latencies (¬±standard error, se) were comparable between tasks (control: 162.9 ms (se 1.7); tracking: 161.7 ms (se 2.5); t(6) = 0.5, p = 0.6; Figure 2b). In contrast, the average N1 response magnitude was significantly reduced during the tracking task in comparison to the control task (control: 27.1 ŒºV (se 5.0); tracking: 18.3 ŒºV (se 4.4); t(6) = 4.8, p = 0.003; Figure 2c). Interestingly, the task difference between average magnitudes o",Results,1,10.1186/1471-2202-5-18,BMC Neuroscience,BMC Neurosci,The effect of a concurrent cognitive task on cortical potentials evoked by unpredictable balance perturbations,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:428574&metadataPrefix=pmc,2004
811,821,PMC4285864,F,"F(2,36) = 5.87 p = 0.006",2,36,p = 0.006,5.87,NA,"d ANOVA (Group vó Perspective vó Condition) interaction showed a main significant effect of Group, F(1,36) = 6.29 p = 0.005 Œ<U+2211>2 = 0.26: the NLD and RD groups both performed worse than the TD children (NLD vs. TD p = 0.011; RD vs. TD p = 0.018). The Perspective vó Group interaction was also significant, F(2,36) = 5.87 p = 0.006 Œ<U+2211>2 = 0.25 (see Table 2), showing that the NLD group was impaired in the case of survey descriptions. In fact, post hoc analyses with Bonferroni s correction showed that the TD (p = 0.13) and RD (p = 0.36) groups did not differ in the scores they obtained for route and survey descriptions, whereas t",RESULTS,2,10.3389/fpsyg.2014.01534,Frontiers in Psychology,Front Psychol,Memory and comprehension deficits in spatial descriptions of children with non-verbal and reading disabilities,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4285864&metadataPrefix=pmc,2015
812,822,PMC4287016,t,"t(36.45) = 2.39, p = 0.022",NA,36.45,p = 0.022,2.39,NA,"was moderate (r = 0.51), we report findings for both measures separately. An independent t-test on the line scale of weight (see Table 1 for means) indicated that participants in the personal relevance condition thought the portable hard drive was heavier than participants in irrelevance condition, t(36.45) = 2.39, p = 0.022, Cohen s ds = 0.69, 95% CIdifference [10.93,134.59]. The same was true for weight judgments in grams, t(47) = 1.75, p = 0.088, Cohen s ds = 0.50, 95% CIdifference [-11.73,164.96], although this test failed to reach statistical significance by conventional standards. When we converted scores on both",EXPERIMENT 2A,3,10.3389/fpsyg.2014.01536,Frontiers in Psychology,Front Psychol,Weighty data: importance information influences estimated weight of digital information storage devices,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4287016&metadataPrefix=pmc,2015
813,823,PMC4287057,t,"t(43) = 2.33, p = 0.025",NA,43,p = 0.025,2.33,NA,"nt: F(2,122) = 13.44, p < 0.001]. The concrete tasks exhibited the following results: in the no-contrast condition, we found an imbalanced causal assignment: participants preferred the gas (CO2) over the medium (air), with M = 5.94 (n = 44) being significantly different from the balanced value 5.0; t(43) = 2.33, p = 0.025. The causal assignment changed as expected, when a contrasting situation was added. Participants regarded CO2 as more causative if the gas was contrasted (M = 6.45, n = 42), but as less causative if the medium was contrasted (M = 4.92, n = 42). The average ratings in the two contrasting conditions",EXPERIMENT 2,2,10.3389/fpsyg.2014.01497,Frontiers in Psychology,Front Psychol,How contrast situations affect the assignment of causality in symmetric physical settings,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4287057&metadataPrefix=pmc,2015
814,824,PMC4287695,F,"F (1, 26) = 17.99, p < 0.01",1,26,p < 0.01,17.99,NA,"1, 2.15 *; 3.59 > 2.15 * Bank having a meeting having coffee depositing a check talking on the phone taking a nap 4.70 4.44 3.96 3.70 2.15 F = 4.5 * 4.70, 4.44, 3.96, 3.70 > 2.15 * Note: F values for ANOVAs w/repeated measures: post hoc comparisons (p < 0.05 = *, p < 0.01 = **). A. Basketball game (F (1, 26) = 17.99, p < 0.01).  Playing basketball‚Äù was not included among the activities to be rated because this setting was readily identified in the previous experiments. Eliminating this possibility allowed us to consider responses to a wider range of activities than what might have otherwise occurred. Participants rated",2. Experiments,1,10.3390/bs4040371,Behavioral Sciences,Behav Sci,Can the Identity of a Behavior Setting Be Perceived Through Patterns of Joint Action? An Investigation of Place Perception,4,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4287695&metadataPrefix=pmc,2014
815,825,PMC4290540,F,"F(1, 16) = 7.969, p = 0.012",1,16,p = 0.012,7.969,NA,"cant [F(1, 16) = 27.098, p = 0.001, Œ<U+2211>2p = 0.629]. This interaction showed that reactions to targets were facilitated when the related prime matched their first syllable (25 ms), but not when preceded by a prime that merely shared initial segments with the target (-13 ms). The three-way interaction [F(1, 16) = 7.969, p = 0.012, Œ<U+2211>2p = 0.332] was also significant. All other effects were not significant (F = 1.481, p = 0.214, Œ<U+2211>2p = 0.085). Table 2 Mean reaction times in ms and SD (in parentheses) as a function of conditions. Lexicality Relatedness Syllabic match Target length Short Long Word Related + 930 (132) 967 (153) -",Results,4,10.3389/fpsyg.2014.01544,Frontiers in Psychology,Front Psychol,Do syllables play a role in German speech perception? Behavioral and electrophysiological data from primed lexical decision,NA,5,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4290540&metadataPrefix=pmc,2015
816,826,PMC4290602,F,"F(4,60) = 3.81, p = 0.036",4,60,p = 0.036,3.81,NA,"ue to the fact that alpha desynchronization after S1 was prominent but it gradually became weaker or completely disappeared in the case of subsequent stimuli. This modulation of the strength of alpha desynchronization was more pronounced over the right hemisphere (sequence vó hemisphere interaction: F(4,60) = 3.81, p = 0.036, ŒµH-F = 0.48 in the distractor-effect electrode pools, F(4,60) = 2.48, p = 0.087, ŒµH-F = 0.61 for the category-effect electrode pools; pre-S3 vs. pre-S4-6 pTukey ‚â• 0.1 over the left hemisphere, but pTukey < 0.001 for pre-S3 vs. pre-S4-5 over the right hemisphere). Fixation stabilityTo assess fixati",Results,1,10.3389/fnhum.2014.01048,Frontiers in Human Neuroscience,Front Hum Neurosci,Object-based attentional selection modulates anticipatory alpha oscillations,NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4290602&metadataPrefix=pmc,2015
817,827,PMC4292733,F,"F(1, 26) = 4.208, p = 0.050",1,26,p = 0.050,4.208,NA,"he open and filled symbols, respectively. Error bars represent ¬±1 SD. Better sensitivity is toward the top of the figure. On average, thresholds were 2-2.5 dB higher (worse) for the ONH than for the YNH participants. The effects of SAM frequency [F(2.353, 61.190) = 20.132, p < 0.001] and Age group [F(1, 26) = 4.208, p = 0.050] were significant, but the interaction was not [F(2.353, 61.190) < 1, p < 0.946]. These results are generally consistent with previous studies reporting significant age-related decrements in the TMTF by 2-7 dB, as measured using pure-tone (He et a1., 2008) and noise carriers (Takahashi and Bacon, 1",Results and discussion,2,10.3389/fnagi.2014.00347,Frontiers in Aging Neuroscience,Front Aging Neurosci,Age-group differences in speech identification despite matched audiometrically normal hearing: contributions from auditory temporal processing and cognition,NA,6,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:4292733&metadataPrefix=pmc,2015
